article,dutch,english,example
de,anamnese,The anamnesis,The doctor took a full anamnesis before making a diagnosis.
de,ananas,The pineapple,The pineapple is a sweet tropical fruit with a prickly skin.
de,anapest,The anapest,The poem was written in anapest, a type of poetic meter.
de,anatoom,The anatomist,The anatomist studied the structure of the human body.
de,anchorman,The anchorman,The anchorman presented the evening news on national television.
de,anciënniteit,The seniority,The employee was promoted based on his seniority in the company.
de,ancien,The veteran,The old ancien shared his stories of the war with the younger soldiers.
de,andersgelovige,The person of a different faith,The community welcomes every person of a different faith with open arms.
de,anderstalige,The non-native speaker,The school offers Dutch lessons for every local non-native speaker.
de,andersvalide,The disabled person,The building is fully accessible for every local disabled person.
het,andreaskruis,The Saint Andrew's Cross,The Saint Andrew's Cross is a symbol often used on flags.
de,anekdote,The anecdote,He told a funny anecdote about his trip to Paris.
de,anemoon,The anemone,The anemone is a beautiful sea creature that looks like a flower.
de,anesthesioloog,The anesthesiologist,The anesthesiologist monitored the patient during the surgery.
de,anesthesist,The anesthetist,The anesthetist administered the local anesthetic before the procedure.
de,angel,The sting,The bee left its sting in my arm after biting me.
de,anglicaan,The Anglican,The Anglican church is the official church of England.
het,anglicisme,The anglicism,The use of an anglicism is becoming more common in Dutch.
de,anglofiel,The anglophile,The anglophile enjoys everything related to British culture.
de,angst,The fear,She felt a sudden wave of fear when she saw the large dog.
de,angstgegner,The bogey team,The local team is facing their bogey team in the final match.
de,angstpsychose,The anxiety psychosis,The patient was treated for a severe anxiety psychosis.
de,angstschreeuw,The cry of fear,A loud cry of fear echoed through the dark forest.
de,animatie,The animation,The movie features a stunning 3D animation of a dragon.
de,animator,The animator,The animator worked for months on the new cartoon series.
de,anjer,The carnation,The carnation is a popular flower for bouquets and buttonholes.
het,ankerpunt,The anchor point,The climber secured his rope to a solid anchor point on the rock.
het,anker,The anchor,The ship dropped its anchor in the quiet bay.
de,annexatie,The annexation,The annexation of the territory led to an international conflict.
de,annonce,The announcement,I saw an announcement for a new apartment in the newspaper.
de,annotatie,The annotation,The scholar added a helpful annotation to the ancient text.
de,annuïteit,The annuity,The bank offered a fixed annuity for the mortgage.
de,annulering,The cancellation,The cancellation of the flight was a major inconvenience.
de,annuleringsverzekering,The cancellation insurance,It's a good idea to take out a cancellation insurance for your holiday.
de,anode,The anode,The electrical current flows into the device through the anode.
de,anomalie,The anomaly,The strange reading on the meter was a clear anomaly.
de,anonymus,The anonymous person,The donation was made by a generous and anonymous person.
de,anorak,The anorak,The hiker wore a warm waterproof anorak during the trek.
de,anorexiapatiënt,The anorexia patient,The organization provides help for every local anorexia patient.
de,ansicht,The view,The old ansicht of the city shows how much it has changed.
de,ansichtkaart,The postcard,I sent a colorful postcard to my grandparents from Italy.
de,ansjovis,The anchovy,The anchovy is a small salty fish often used on pizza.
de,antagonist,The antagonist,The hero struggled against the cunning antagonist in the story.
het,antecedent,The antecedent,The pronoun must agree with its grammatical antecedent.
de,antennemast,The antenna mast,The tall antenna mast was visible from miles away.
de,antenne,The antenna,The television reception was poor because of a broken antenna.
de,anthologie,The anthology,The book is an anthology of modern Dutch poetry.
de,antiapartheidsbeweging,The anti-apartheid movement,The anti-apartheid movement campaigned for equality in South Africa.
het,antibioticum,The antibiotic,The doctor prescribed an antibiotic to treat the infection.
de,antichambre,The antechamber,The guests waited in the antechamber before the official meeting.
de,anticipatie,The anticipation,The crowd waited in eager anticipation for the concert to begin.
de,anticlimax,The anticlimax,The ending of the movie was a disappointing anticlimax.
het,anticonceptiemiddel,The contraceptive,The doctor discussed different types of contraceptive with the patient.
de,anticonceptiepil,The birth control pill,The birth control pill is a common method of contraception.
het,antidepressivum,The antidepressant,The psychiatrist prescribed an antidepressant to help the patient.
het,antidotum,The antidote,The doctor administered an antidote to counteract the poison.
de,antiekbeurs,The antique fair,I found a beautiful old clock at the local antique fair.
de,antiekveiling,The antique auction,The rare vase was sold for a high price at the antique auction.
de,antiekwinkel,The antique shop,The antique shop has a wonderful collection of old furniture.
de,antifoon,The antiphon,The choir sang a beautiful antiphon during the religious service.
het,antigeen,The antigen,The vaccine stimulates the body to produce antibodies against the antigen.
het,antigifcentrum,The poison control center,Call the poison control center immediately if someone swallows a toxic substance.
de,antiglobalist,The anti-globalist,The anti-globalist protested against the influence of large corporations.
de,antiheld,The anti-hero,The main character of the novel is a complex anti-hero.
het,antihistaminicum,The antihistamine,I take an antihistamine every day to manage my hay fever.
de,antiklerikaal,The anti-clerical,The anti-clerical movement was strong in the nineteenth century.
het,antilichaam,The antibody,The body produces an antibody to fight off the virus.
de,antilope,The antelope,The antelope ran swiftly across the open savanna.
het,antimakassar,The antimacassar,The old lady placed a lace antimacassar on the back of the armchair.
de,antimilitarist,The anti-militarist,The anti-militarist campaigned against the increase in military spending.
de,antimuggenspray,The mosquito spray,Don't forget to apply some mosquito spray before you go outside.
de,antinarcoticabrigade,The anti-narcotics squad,The anti-narcotics squad seized a large shipment of drugs.
de,antinomie,The antinomy,The philosopher explored the antinomy between free will and determinism.
de,antioxidant,The antioxidant,Vitamin C is a powerful antioxidant found in many fruits.
de,antipathie,The antipathy,He felt an immediate and strong antipathy towards his new boss.
de,antipode,The antipode,New Zealand is often considered the antipode of the Netherlands.
het,antiproton,The antiproton,The scientist studied the behavior of the antiproton in the collider.
de,antiquaar,The antiquarian,The antiquarian specializes in rare and old books.
de,antiquair,The antique dealer,The antique dealer appraised the value of the old painting.
het,antiquariaat,The antiquarian bookstore,I found a first edition of my favorite novel at the antiquariaat.
de,antiquiteit,The antiquity,The vase is a valuable antiquity from the Roman era.
de,antirevolutionair,The anti-revolutionary,The anti-revolutionary party was founded in the late nineteenth century.
de,antirookcampagne,The anti-smoking campaign,The government launched a new anti-smoking campaign aimed at teenagers.
de,antiroosshampoo,The anti-dandruff shampoo,I use an anti-dandruff shampoo to keep my scalp healthy.
de,antisemiet,The anti-Semite,The organization campaigns against the hateful views of the anti-Semite.
de,antislipcursus,The skid control course,Taking a skid control course can help you become a safer driver.
de,antistof,The antibody,The vaccine triggers the production of a specific antibody.
het,antistollingsmiddel,The anticoagulant,The patient was prescribed an anticoagulant to prevent blood clots.
de,antithese,The antithesis,Her calm behavior was the complete antithesis of his nervous energy.
het,antoniem,The antonym,Hot is the antonym of the word cold.
de,antropoloog,The anthropologist,The anthropologist lived with the tribe to study their culture.
de,antropologe,The anthropologist,The female anthropologist published a book about her research in Africa.
de,antroposof,The anthroposophist,The anthroposophist follows the philosophical teachings of Rudolf Steiner.
het,antwoordapparaat,The answering machine,Please leave a message on the answering machine after the beep.
het,antwoord,The answer,I am still waiting for an answer to my important question.
de,antwoordenvelop,The reply envelope,Please send your form back in the provided reply envelope.
de,antwoordkaart,The reply card,Don't forget to send back the reply card for the wedding.
de,anus,The anus,The doctor explained the anatomy of the anus to the medical student.
de,apachedans,The Apache dance,The Apache dance was a dramatic and violent dance from Paris.
de,apache,The Apache,The Apache is a member of a Native American tribe.
de,apatride,The stateless person,The organization helps every local stateless person with their legal status.
de,aap,The monkey,The monkey swung from branch to branch in the jungle.
de,apenbroodboom,The baobab tree,The baobab tree is known for its thick trunk and strange appearance.
het,apenjaar,The monkey year,The monkey year is one of the twelve years in the Chinese zodiac.
de,apenkooi,The monkey cage,The children were excited to see the playful animals in the monkey cage.
de,apenkop,The monkey head,The carved monkey head was part of an ancient totem pole.
de,apenkuur,The monkey trick,He played a silly monkey trick on his little sister.
het,apenpak,The monkey suit,He felt very uncomfortable in the formal monkey suit at the wedding.
de,apenrots,The monkey rock,The monkeys were sunning themselves on the large monkey rock.
de,apenstreek,The monkey trick,The naughty child was always up to some silly monkey trick.
de,aperitiefconcert,The aperitif concert,We enjoyed a beautiful aperitif concert on a sunny Sunday morning.
het,aperitief,The aperitif,The host served a refreshing aperitif before the dinner.
de,apertuur,The aperture,The photographer adjusted the aperture to let in more light.
de,apinne,The female monkey,The female monkey was very protective of her young baby.
de,apocalyps,The apocalypse,Many movies depict a dark future after a global apocalypse.
de,apologie,The apology,The politician published a formal apology for his earlier comments.
de,apostel,The apostle,The apostle traveled across the land to spread the message.
de,apostille,The apostille,You need an official apostille to legalize your documents abroad.
de,apostrof,The apostrophe,The apostrophe in it's indicates that the letter i is missing.
de,apotheek,The pharmacy,I went to the pharmacy to pick up my prescription medication.
de,apothekeres,The pharmacist,The female pharmacist explained how to take the new medicine.
de,apotheker,The pharmacist,The pharmacist is responsible for dispensing medication to patients.
de,apothekerassistent,The pharmacy assistant,The pharmacy assistant helped the customers with their questions.
de,apotheose,The apotheosis,The final scene of the opera was a spectacular apotheose.
het,apparaat,The device,The new device can measure your heart rate and sleep quality.
de,apparatsjik,The apparatchik,The loyal apparatchik followed the orders of the party without question.
het,appartement,The apartment,The young couple recently moved into a small apartment in the city.
het,appartementenblok,The apartment block,A new apartment block is being built at the end of the street.
het,appartementencomplex,The apartment complex,The luxury apartment complex features a swimming pool and a gym.
het,appartementsblok,The apartment block,The apartment block has a secure entrance and a private garden.
het,appartementsgebouw,The apartment building,The tall apartment building offers a great view over the park.
de,appelaar,The apple tree,The apple tree in the garden is full of blossom in the spring.
de,appelbeignet,The apple fritter,I love the taste of a warm apple fritter with powdered sugar.
de,appelboom,The apple tree,The old apple tree produces a lot of fruit every autumn.
de,appel,The apple,The apple is a healthy snack that is high in fiber.
de,appelflap,The apple turnover,The bakery sells a delicious and flaky apple turnover.
de,appellant,The appellant,The appellant filed an appeal against the court's decision.
de,appellante,The appellant,The female appellant argued her case before the judge.
de,appellation,The appellation,The wine has a protected appellation of origin from France.
de,appelplaats,The roll-call area,The soldiers gathered in the roll-call area at dawn.
het,appelsap,The apple juice,I prefer a glass of fresh apple juice with my breakfast.
de,appelsien,The orange,The orange is a juicy citrus fruit that is high in vitamin C.
de,appeltaart,The apple pie,There is nothing better than a slice of warm apple pie with cream.
de,appendage,The appendage,The insect has a long and thin appendage on its head.
de,appendix,The appendix,The doctor had to remove the patient's inflamed appendix.
de,applet,The applet,The website used a small Java applet to display the animation.
de,applicatie,The application,You can download the new application from the app store.
de,applique,The applique,The dress was decorated with a beautiful floral applique.
de,appreciatie,The appreciation,The teacher showed her appreciation for the student's hard work.
de,approbatie,The approval,The project received the official approval from the board.
de,app,The app,I use a weather app to check the forecast every morning.
de,aprilgrap,The April Fool's joke,He played a clever April Fool's joke on his colleagues.
de,aprilmop,The April Fool's joke,The newspaper published a fake story as an April Fool's joke.
de,apsis,The apse,The apse is the semicircular part at the end of the church.
het,aquaduct,The aqueduct,The ancient Roman aqueduct still stands in the countryside.
de,aquamarijn,The aquamarine,The aquamarine is a beautiful light blue gemstone.
de,aquanaut,The aquanaut,The aquanaut lived and worked in an underwater research station.
de,aquarel,The watercolor,The artist painted a beautiful watercolor of the local harbor.
het,aquarium,The aquarium,The children were fascinated by the colorful fish in the aquarium.
de,aquatint,The aquatint,The aquatint is a type of printmaking that creates tonal effects.
de,aquifer,The aquifer,The city gets its drinking water from a deep underground aquifer.
de,arabesk,The arabesque,The building was decorated with a complex geometric arabesque.
de,arabier,The Arabian,The Arabian is a noble and swift horse breed.
de,arabist,The Arabist,The Arabist studied the language and culture of the Arab world.
de,arbeider,The worker,The factory worker operated the machine for eight hours a day.
het,arbeiderskind,The working-class child,The working-class child grew up in a small house in the city.
de,arbeiderswijk,The working-class neighborhood,The working-class neighborhood has a strong sense of community.
de,arbeidsbeurs,The job fair,The job fair is a great place to meet potential employers.
het,arbeidsbureau,The employment agency,The employment agency helped him find a new job as a driver.
het,arbeidscontract,The employment contract,Read the employment contract carefully before you sign it.
de,arbeidsinspectie,The labor inspection,The labor inspection visited the factory to check for safety.
de,arbeidskracht,The worker,The company is looking for a new worker for the warehouse.
de,arbeidsmarkt,The labor market,The labor market is currently very competitive for young graduates.
de,arbeidsongeval,The workplace accident,The company has a strict policy to prevent any workplace accident.
de,arbeidsovereenkomst,The employment agreement,The employment agreement specifies your salary and working hours.
de,arbeidsplaats,The workplace,The workplace should be a safe and healthy environment for everyone.
de,arbeidsrechtbank,The labor court,The dispute was eventually settled in the national labor court.
het,arbeidsrecht,The labor law,The labor law protects the rights of every worker.
het,arbeidsreglement,The labor regulation,The labor regulation specifies the rules of conduct in the office.
de,arbeidster,The worker,The female worker was praised for her efficiency in the factory.
de,arbeidsvoorwaarde,The labor condition,Good labor condition are essential for a happy workforce.
de,arbiter,The arbiter,The arbiter made a final decision on the disputed goal.
de,arbitrage,The arbitration,The dispute was settled through a formal process of arbitration.
de,arbodienst,The occupational health service,The occupational health service advised the employee on his recovery.
het,arboretum,The arboretum,The arboretum has a beautiful collection of rare trees.
de,arcade,The arcade,The shopping arcade was full of small and unique boutiques.
het,archaïsme,The archaism,The writer used an archaism to give the story an old-fashioned feel.
de,archeoloog,The archaeologist,The archaeologist discovered a hidden tomb in the desert.
de,archeologe,The archaeologist,The female archaeologist led the excavation of the ancient city.
het,archetype,The archetype,The wise old man is a common archetype in many stories.
het,archief,The archive,The researcher searched for the old documents in the national archive.
de,archipel,The archipelago,Indonesia is a large archipelago consisting of thousands of islands.
de,architect,The architect,The architect designed a modern and sustainable office building.
het,architectenbureau,The architectural firm,The architectural firm won the competition to design the new museum.
de,architectuur,The architecture,The architecture of the old city is truly breathtaking.
de,architraaf,The architrave,The architrave is the beam that sits on top of the columns.
de,archivaris,The archivist,The archivist is responsible for managing the historical documents.
het,arduin,The bluestone,The steps of the old house were made of solid bluestone.
het,areaal,The area,The total area of the forest has decreased in recent years.
de,are,The are,The are is a unit of measurement for a land area.
de,arend,The eagle,The eagle built its nest on a high ledge in the mountains.
het,arendsoog,The eagle eye,The detective had an eagle eye for even the smallest detail.
de,argumentatie,The argumentation,The lawyer presented a strong and logical argumentation in court.
het,argument,The argument,I didn't find his argument very convincing at all.
de,ariër,The Aryan,The concept of an Aryan race was central to Nazi ideology.
de,aristocraat,The aristocrat,The aristocrat lived in a large castle in the countryside.
de,aristocratie,The aristocracy,The aristocracy held most of the power in the eighteenth century.
de,ark,The ark,Noah built a large ark to save the animals from the flood.
de,armatuur,The fixture,The designer chose a modern light fixture for the dining room.
de,armband,The bracelet,She wore a beautiful gold bracelet on her left wrist.
de,armee,The army,The army marched through the city during the victory parade.
de,armelui,The poor,The organization provides free meals for every local poor in the city.
de,arm,The arm,He broke his arm while playing football with his friends.
de,armoezaaier,The pauper,The old man died as a pauper with no money to his name.
het,aroma,The aroma,The aroma of fresh coffee filled the entire kitchen.
het,arrangement,The arrangement,The hotel offered a special arrangement for the weekend.
de,arrenslee,The horse-drawn sleigh,We took a romantic ride in a horse-drawn sleigh through the snow.
de,arrestant,The detainee,The detainee was questioned by the police at the station.
de,arrestatie,The arrest,The arrest of the suspect took place early this morning.
het,arrest,The verdict,The court delivered its final verdict after a long trial.
de,arrivé,The arrived person,The arrived person was greeted by his family at the airport.
het,arrondissement,The district,The city is divided into several administrative district.
de,arrondissementsrechtbank,The district court,The case was heard in the local district court last week.
het,arsenaal,The arsenal,The museum has a large arsenal of historical weapons.
de,artdirector,The art director,The art director is responsible for the visual style of the movie.
het,artefact,The artifact,The archaeologist found a rare artifact during the excavation.
de,arterie,The artery,The main artery carries oxygenated blood away from the heart.
de,articulatie,The articulation,The singer has a very clear and precise articulation of the words.
de,artiest,The artist,The artist performed his latest songs for a large crowd.
de,artieste,The artist,The female artist showed her latest paintings in the gallery.
het,artikel,The article,I read an interesting article about climate change in the paper.
het,artikelnummer,The article number,Please quote the article number when you place your order.
de,artisjok,The artichoke,The artichoke is a type of thistle that is eaten as a vegetable.
de,arts,The doctor,The doctor advised the patient to get more exercise and rest.
de,artsenbezoeker,The medical representative,The medical representative visited the doctor to talk about the new drug.
het,artwork,The artwork,The artwork in the gallery was created by a local artist.
de,asbak,The ashtray,Please empty the ashtray before the guests arrive.
de,ascendant,The ascendant,The ascendant is the zodiac sign that was rising at the time of birth.
de,asceet,The ascetic,The ascetic lived a simple life without any luxury or comfort.
de,asielzoeker,The asylum seeker,The organization provides legal help for every local asylum seeker.
het,asielzoekerscentrum,The asylum center,The asylum center provides temporary housing for the refugees.
de,asociale,The antisocial person,The antisocial person often ignores the rules of the community.
het,aspect,The aspect,Cost is a major aspect to consider when buying a new car.
de,asperge,The asparagus,The asparagus is a delicious vegetable that is popular in the spring.
de,aspergesteker,The asparagus harvester,The asparagus harvester worked in the fields from early morning.
de,aspirant,The trainee,The trainee began his first day at the police academy.
de,aspiratie,The aspiration,His main aspiration is to become a professional musician.
de,aspirine,The aspirin,I took an aspirin to get rid of my headache.
de,assemblage,The assembly,The assembly of the car is done on a large production line.
de,assemblee,The assembly,The national assembly met to discuss the new budget.
de,as,The axle,The axle of the wagon was broken after hitting a deep hole.
de,assepoester,The Cinderella,She felt like a real Cinderella in her beautiful new dress.
de,assertie,The assertion,The politician made a bold assertion about the economy.
het,assessment,The assessment,The student completed a written assessment at the end of the course.
de,assessor,The assessor,The assessor evaluated the student's performance during the exam.
de,assimilatie,The assimilation,The assimilation of the new immigrants took several decades.
het,assisenhof,The court of assize,The serious crime was tried in the national court of assize.
de,assistent,The assistant,The assistant helped the professor with the research project.
de,assistente,The assistant,The female assistant managed the doctor's busy schedule.
de,assist,The assist,The player provided a perfect assist for the winning goal.
de,associatie,The association,The scientific association organizes a conference every year.
de,associé,The associate,The lawyer met with his business associate to discuss the case.
de,assonantie,The assonance,The poem used assonance to create a melodic sound.
het,assortiment,The assortment,The bakery has a wonderful assortment of fresh bread and cakes.
de,assumptie,The assumption,His theory was based on the assumption that the data was correct.
de,assurantieadviseur,The insurance advisor,The insurance advisor helped the family choose the right policy.
de,assurantie,The insurance,The company provides a comprehensive insurance for your home.
het,asterisk,The asterisk,The asterisk symbol is often used to indicate a footnote.
de,asteroïde,The asteroid,The asteroid passed close to the Earth without causing any damage.
de,astronaut,The astronaut,The astronaut performed a spacewalk to repair the station.
de,astronoom,The astronomer,The astronomer used a telescope to study the distant stars.
de,asurne,The ash urn,The family placed the ash urn in a quiet corner of the cemetery.
de,asvaalt,The ash heap,The old ash heap was eventually cleared to make way for a park.
de,asymmetrie,The asymmetry,The asymmetry of the design gave the building a unique look.
het,atelier,The studio,The artist spent the whole day working in his quiet studio.
de,atheïst,The atheist,The atheist does not believe in the existence of any god.
het,atheneum,The atheneum,The atheneum is a type of secondary school in the Netherlands.
de,atleet,The athlete,The athlete trained hard for the upcoming Olympic Games.
de,atlete,The athlete,The female athlete won a gold medal in the marathon.
de,atletiekbaan,The running track,The running track was renovated before the start of the season.
de,atmosfeer,The atmosphere,The atmosphere in the room was tense during the meeting.
het,atol,The atoll,The small tropical island is part of a beautiful coral atoll.
het,atoom,The atom,The atom is the smallest unit of a chemical element.
het,atrium,The atrium,The new office building features a large and bright atrium.
de,attachékoffer,The attaché case,The diplomat carried his documents in a slim black attaché case.
de,attaché,The attaché,The cultural attaché organized an exhibition of local art.
de,attaque,The stroke,The old man had to go to the hospital after suffering a stroke.
de,attendering,The notification,I received a notification about the upcoming dental appointment.
de,attentie,The attention,The teacher called for the attention of the students in the class.
de,attestatie,The attestation,The doctor provided an official attestation of the patient's illness.
het,attest,The certificate,You need a medical certificate to justify your absence from work.
de,attitude,The attitude,A positive attitude can make a big difference in your career.
het,attractiepark,The theme park,The theme park is a popular destination for families in the summer.
de,attractie,The attraction,The main attraction of the fair was the giant Ferris wheel.
het,attribuut,The attribute,Patience is an important attribute for a successful teacher.
de,attributie,The attribution,The attribution of the painting to Rembrandt was confirmed by experts.
de,aubade,The aubade,The choir performed a beautiful aubade under the window.
de,aubergine,The eggplant,The eggplant is a versatile vegetable often used in Mediterranean cooking.
de,audicien,The audiologist,The audiologist checked the boy's hearing and fitted him with an aid.
de,audiëntie,The audience,The ambassador was granted a formal audience with the king.
de,audiokabel,The audio cable,I need a longer audio cable to connect the speakers.
de,auditeur,The auditor,The auditor conducted a thorough review of the company's accounts.
de,auditie,The audition,The young actor was nervous before his big audition for the play.
de,auditor,The auditor,The internal auditor found a few small errors in the report.
de,audit,The audit,The annual audit confirmed that the company's finances were in order.
de,augiasstal,The Augean stable,Cleaning up the corrupt department was like cleaning the Augean stable.
de,augurk,The pickle,The pickle is a small cucumber that has been preserved in vinegar.
de,augustijn,The Augustinian,The Augustinian monk lived a life of prayer and study.
de,augustusdag,The August day,It was a warm and sunny August day in the city.
de,aureool,The halo,The saint was depicted with a golden halo around his head.
de,autarchie,The autarky,The country is striving for autarky in its food production.
de,auteur,The author,The author of the book signed copies for his readers at the shop.
de,autist,The autistic person,The school provides specialized support for every local autistic person.
het,autoalarm,The car alarm,The car alarm went off in the middle of the night.
de,autoband,The car tire,I need to change the front car tire because it is worn out.
de,autobaan,The motorway,The motorway was busy with cars and trucks during the rush hour.
de,autobelasting,The car tax,The government decided to increase the annual car tax.
de,autobestuurder,The car driver,The car driver was fined for speeding through the city center.
de,autobiografie,The autobiography,The famous actor wrote an interesting autobiography about his life.
de,autobomaanslag,The car bomb attack,The city was shocked by the news of a devastating car bomb attack.
de,autobus,The bus,The bus takes passengers from the city center to the airport.
de,autocar,The coach,The football team traveled to the match in a large luxury coach.
de,autochtoon,The native,The native population has lived in this region for centuries.
de,autoclaaf,The autoclave,The dentist used an autoclave to sterilize the instruments.
de,autoconstructeur,The car manufacturer,The car manufacturer is developing a new electric model.
de,autocoureur,The racing driver,The racing driver won the championship after a thrilling final race.
de,autocue,The autocue,The newsreader looked into the camera and read from the autocue.
de,autodealer,The car dealer,The car dealer offered us a great deal on a new sedan.
de,autodidact,The self-taught person,The musician is a real self-taught person who learned to play by ear.
de,autofabrikant,The car manufacturer,The car manufacturer announced a recall of thousands of vehicles.
de,autograaf,The autograph,The fan was thrilled to get an autograph from his favorite singer.
de,autografie,The autography,The scholar studied the unique autography of the ancient manuscript.
de,autohandelaar,The car dealer,The car dealer sold both new and used vehicles.
de,autokaart,The road map,We used an old road map to find our way through the countryside.
de,automagazine,The car magazine,The car magazine features reviews of the latest models.
de,automaat,The machine,I bought a snack from the machine at the train station.
de,automatiek,The vending machine,The local automatiek is open twenty-four hours a day.
de,automatisatie,The automation,The automation of the factory has led to a higher efficiency.
het,automatisme,The automatism,Blinking is a natural and unconscious human automatism.
het,automerk,The car brand,Volkswagen is a very popular car brand in the Netherlands.
de,automobiel,The automobile,The first automobile was invented in the late nineteenth century.
de,automobilist,The motorist,The motorist was warned about the icy conditions on the road.
de,automonteur,The car mechanic,The car mechanic fixed the engine of my car in a few hours.
de,automotor,The car engine,The car engine was purring smoothly after the service.
de,automutilatie,The self-harm,The patient was treated for a severe case of self-harm.
de,autonoom,The autonomous region,The autonomous region has its own government and laws.
de,autoped,The scooter,The child was riding his red scooter up and down the street.
het,autoportier,The car door,Please close the car door carefully when you get out.
de,autopsie,The autopsy,The medical examiner performed an autopsy to determine the cause of death.
de,autorace,The car race,The car race took place on a challenging track in the mountains.
het,autoram,The car window,He rolled down the car window to let in some fresh air.
de,autorisatie,The authorization,You need official authorization to access these restricted files.
de,autoriteit,The authority,The local authority is responsible for the maintenance of the park.
het,autosalon,The motor show,The new electric car was unveiled at the international motor show.
de,autosnelweg,The motorway,The motorway connects the two largest cities in the country.
de,autostoel,The car seat,The child was strapped securely into his safety car seat.
de,autostrade,The motorway,The traffic on the motorway was heavy due to an accident.
de,autotechniek,The car technology,The new model features the latest in modern car technology.
de,autoweg,The motorway,The speed limit on the motorway is 130 kilometers per hour.
de,avance,The advance,The publisher gave the author a small advance for his new book.
de,avegaar,The auger,The carpenter used a large auger to drill a hole in the beam.
de,avenue,The avenue,The grand avenue was lined with tall and beautiful trees.
de,averij,The damage,The ship suffered significant damage during the storm at sea.
de,aversie,The aversion,She has a strong aversion to eating raw onions.
de,avond,The evening,We spent a quiet evening at home watching a movie.
het,avondfeest,The evening party,The wedding was followed by a large and festive evening party.
de,avondles,The evening class,She decided to take an evening class to learn Spanish.
het,avondmaal,The supper,The family gathered around the table for a simple supper.
de,avondopleiding,The evening course,The university offers a part-time evening course for working adults.
het,avondtoilet,The evening dress,She wore a stunning black evening dress to the gala.
het,avonduur,The evening hour,The evening hour is a time for rest and relaxation.
de,avondvierdaagse,The four-day evening walk,The children participated in the annual four-day evening walk.
het,avontuur,The adventure,The trip to the jungle was a real and exciting adventure.
het,avonturenverhaal,The adventure story,The child loved to listen to an exciting adventure story.
de,avonturier,The adventurer,The adventurer traveled to remote parts of the world.
de,axel,The Axel,The figure skater performed a perfect double Axel during her program.
de,axolotl,The axolotl,The axolotl is a strange salamander that remains in its larval stage.
de,ayatollah,The ayatollah,The ayatollah is a high-ranking religious leader in Islam.
de,aas,The bait,He put a small worm on the hook as bait for the fish.
de,azertyklavier,The AZERTY keyboard,The AZERTY keyboard is commonly used in Belgium and France.
de,azijnpisser,The grumbler,Nobody likes a grumbler who always finds something to complain about.
het,azijnstel,The cruet set,The cruet set on the table contained oil and vinegar.
de,azimut,The azimuth,The sailor calculated the azimuth of the star to find his way.
de,azuursteen,The lapis lazuli,The lapis lazuli is a beautiful deep blue gemstone.
de,baadster,The bather,The bather enjoyed the cool water of the lake on a hot day.
de,baai,The bay,The boat was anchored in a quiet and sheltered bay.
de,baäl,The Baal,Baal was an ancient god worshiped by many different cultures.
de,baanbreker,The pioneer,The scientist was a real pioneer in the field of genetics.
de,baanloze,The unemployed person,The government provides support for every local unemployed person.
de,baard,The beard,The old man had a long and bushy white beard.
de,baardwalvis,The baleen whale,The baleen whale filters tiny organisms from the water to eat.
de,baarmoeder,The uterus,The fetus develops inside the mother's uterus for nine months.
de,baars,The perch,The perch is a common freshwater fish found in many lakes.
de,babbelaar,The chatterbox,My little niece is a real chatterbox who never stops talking.
de,babbelbox,The chat box,You can leave a message in the chat box on our website.
de,babbelkous,The chatterbox,The old lady was a real chatterbox who loved to gossip.
de,babe,The babe,The young woman was considered a real babe by all the local men.
de,baboe,The nanny,The nanny took care of the children while the parents were at work.
het,babyartikel,The baby item,The shop specializes in every type of baby item and clothes.
de,babyboomer,The baby boomer,The baby boomer generation is now reaching retirement age.
de,babyborrel,The baby shower,We organized a small baby shower for our pregnant friend.
de,babydoll,The baby doll,She wore a stylish black silk baby doll to bed.
de,babyfoon,The baby monitor,We can hear the baby crying through the baby monitor.
de,babysit,The babysitter,The babysitter watched a movie after the children had gone to sleep.
de,babysitter,The babysitter,The parents hired a babysitter for their night out at the cinema.
het,bacchanal,The bacchanal,The party turned into a wild and noisy bacchanal.
de,bacchant,The bacchant,The bacchant was a follower of Bacchus, the god of wine.
de,bacheloropleiding,The bachelor's program,The university offers a three-year bachelor's program in history.
de,bachelor,The bachelor,The bachelor lived alone in a small apartment in the city.
de,bachelorstudent,The bachelor's student,The bachelor's student is currently in his second year of study.
de,bacil,The bacillus,The bacillus is a type of rod-shaped bacterium.
de,bacillendrager,The carrier,The carrier of the virus showed no symptoms of the disease.
de,backoffice,The back office,The back office handles all the administrative tasks of the bank.
de,backpacker,The backpacker,The backpacker traveled across Southeast Asia with just a rucksack.
de,back,The back,The back is a defensive player in a game of football.
de,backspace,The backspace,Press the backspace key to delete the last character you typed.
de,bacteriekolonie,The bacterial colony,The scientist observed a large bacterial colony in the petri dish.
de,bacterie,The bacterium,The bacterium was identified as the cause of the infection.
de,bacteriofaag,The bacteriophage,The bacteriophage is a virus that infects and kills a bacterium.
de,badding,The batten,The carpenter used a wooden batten to reinforce the structure.
de,baddoek,The bath towel,I need a clean bath towel after my morning shower.
het,bad,The bath,The child enjoyed playing with his rubber duck in the bath.
de,bader,The bather,The bather relaxed in the warm water of the hot spring.
de,badge,The badge,The employee wore a name badge on his lapel.
de,badhanddoek,The bath towel,She wrapped a large bath towel around herself after the swim.
het,badhandje,The washcloth,She used a soft washcloth to clean the baby's face.
de,badjas,The bathrobe,He put on his warm bathrobe after getting out of the shower.
